Stranci

Hajde da ludujemo  C
Godine prolaze  D
Kotor  ???
Lepa Janja  Gmol, iz B
Ako su to samo bile laži  D
Majstor za poljupce  Dmol možda Cmol


Narodnjaci

Emina Jahović - Da l' ona zna  Emol
Selma Bajrami - Kakvo telo Selma ima  Cis???
Ana Nikolić - Romale Romali  Fismol
Ana Nikolić - Đavo  Fismol
Sanja Đorđević - Crveni lak  Cmol
Milica Todorović - Uporedi me  Cmol
Seka Aleksić - Crveni ruž  Amol
Indira Radić - Bio si mi drag  Amol
Indira Radić - April  Dmol
Indira Radić - Zmaj  Am
Nena Đurović - Daj joj moje haljine  Bmol
Trik FX - Hitna pomoć  Cmol
Ceca - Da raskinem s njom  Bmol
Ceca - Viski  Dmol
Ceca - Manta manta  Dmol
Ceca - Koža pamti  Amol
Ceca - Pile  Gismol
Ceca - Lepi grome moj  Amol
Ceca - Turbulentno  Dmol
Ceca - Nevaljala  C
Ceca - Tačno je  Amol
Ceca - Tražio si sve  Cism
Ceca - Kad bi bio ranjen  H
Ceca - Ja još spavam u tvojoj majici  Dm
Ceca - Doktor  Dmol
Ceca - Poziv  Cmol!
Ceca - Ime i prezime  Dismol
Neda Ukraden - Da se nađemo na pola puta  Cmol
Neda Ukraden - Viljamovka Amol
Tanja Savić - Gde ljubav putuje  Gismol
Tanja Savić - Tako mlada  Cismol
Tanja Savić - Zašto me u obraz ljubiš  Emol
Tanja Savić - Zlatnik  Fismol
Slavica Ćukteraš - Mrgud  Hmol
Slavica Ćukteraš - Ekskluziva  Cism
Milica Pavlović - Provereno  Fmol
Lepa Brena - Luda za tobom  Cmol
Lepa Brena - Uđi slobodno  Amol
Lepa Brena - Hajde da se volimo  E
Lepa Brena - Miki mićo  Fismol
Lepa Brena - Ti si moj greh  Em
Aca Lukas - Pesma od bola  Cmol
Aca Lukas - Omaklo mi se  Dismol
Aca Lukas - Nešto protiv bolova  Fismol
Donna Ares - To mi nije trebalo  Amol
Donna Ares - Ubila me tvoja nevera  Cismol
Ana Bekuta - Zavoleh te  Bmol
Ana Bekuta - Zlatiborske zore  Dismol
Ana Bekuta - Veseljak  Kreće D7
Milan Stanković - Nepopravljivo  Cmol
Milan Stanković - Luda ženo  Cismol
Dejan Matić - Sledeća  Amol
Saša Matić - Lagala je grade  Dmol iz B
Severina - Uzbuna  Hmol
Severina - Tarapana  Gismol
Rođa Raičević - U tebe sam zaljubljen  E
Dara Bubamara - Zidovi  Emol
Seka Aleksić - Aspirin  Amol
Seka Aleksić - Boli stara ljubav  Hm
Luna - Tekila limun i so  Cismol
Luna - Red bull  Cismol
Luna - Dupla škorpija  H
Amar Gile - Prekasno  Hmol
Severina - Uno momento   Dmol
Severina - Bred Pit  Cismol
Zoran Vanev - Južna pruga  Amol
Ciganka sam mala  Dmol
Milica Todorović - Tri čaše  Cm
Aleksandra Prijović - Totalna anestezija  Dm
Aleksandra Prijović - Psiho  Cm
Aleksandra Prijović - Dam dam dam  Fism
Jovana Tipšin - Ne zaboravi me  Hm
Aco Pejović - Oko mene sve  Emol
Aco Pejović - Alkohola poplava  Emol
Šaban Šaulić - Ti me varaš najbolje  Amol
Stoja - Nešto mi govori  Am
Stoja - Potopiću ovaj splav  Hm
Haris Džinović - Muštuluk  ???


7/8

Makedonsko devojče  Amol
Jovano jovanke  H
Veseli se srpski rode  Dmol
Ajde jano  Cmol
Usnila je dubok sanak  Cmol
Vidovdan  A
Breskvica - Gnezdo orlovo  Dmol
Luis - Slike u oku  Dmol
Halid Bešljić - Romanija  Amol
Hanka Paldum - Crne kose  Amol
Mito bekrijo  Dmol



Fajront

Kemal Monteno - Nije htjela  Amol iz C
Galija - Dodirni me Dmol
Galija - Kad me pogledaš  A
Loše vino  original???
ako je vrijedilo išta ???
Ružo rumena  iz F
Pukni zoro  Gmol
Ceca - Beograd  Dmol
Zona zamfirova  Cmol
Nikola Kojo - Ljubav je to  Cmol


----------------     NIJE U REPERTOARU     ----------------


Predlozi


Aleksandra Radović - Ljubavi moja
Nina Badrić - Dani i godine
Bijelo Dugme - Ružica si bila
Riblja Čorba - Kad hodaš
Parni Valjak - Lutka za bal
Hladno pivo - Pitala si me
YU Grupa - Mornar
EKV - Srce
EKV - Krug
Film, Jura Stublić - Srce Na Cesti
Prljavo kazalište - Kiše jesenje
Tonny Montano - Deset godina
Neki To Vole Vruće - Teška Vremena, Prijatelju Moj
Bajaga - Život je nekad siv nekad žut
Bane Lalic & MVP - Celu noc i celi dan
Jelena Karleuša - Nije ona nego ja  ???
Jelena Karleuša - Slatka mala
Jelena Karleuša - Insomnia
Zdravko Čolić - Ti si mi u krvi  original??
Zdravko Čolić - Merak mi je  +1???
Zdravko Čolić - Ajde ajde Jasmina  ???
Zdravko Čolić - Ti možeš sve
Zdravko Čolić - Zagrli me
Oliver Dragojević - Dženi
Galija - Ti možeš sve
ELITNI ODREDI (Cover Iva Ćurić) - Ne koči/Beograd +2?
TROPICO BAND - ZAR TI  Original???
Gibonni - Libar
Željko Joksimović - Petak na subotu
Željko Joksimović - Ljubavi
Goca Tržan - Konobarice
Goca Tržan - Bumerang
Dino Merlin - Kremen
Dino Merlin - Danas sam ok
Nataša Bekvalac - Ne brini
Nataša Bekvalac - Navika
Nataša Bekvalac - Laži me laži
Nataša Bekvalac - Ludilo
Nataša Bekvalac - Ja sam dobro
Boris Režak - Anđeo
Boris Režak - Ti si moja
Danijela Martinović - Da je slađe zaspati
Magazin - Minut srca tvog
Massimo - Iz jednog pogleda  H/C???
Negativ - Tango
Milica Pavlović - Tango
Miligram - Bulevari
Miligram - Ne komplikuj
Toše Proeski - Srećo ne krivi me
Neverne bebe - Kuća za spas
Zana i Željko Bebek – Jabuke i vino
Srpkinja je mene majka rodila
Aleksandra prijović - Litar vina litar krvi
Džej Ramadanovski - Od ljubavi do mržnje
Lazarica
Za tebe
Budi moja voda
Teške boje
Vino na usnama  G
Crvena jabuka - To mi radi  A
Crvena jabuka - Tamo gde ljubav počinje  A iz D
Crvena jabuka - Ne dam da ovaj osećaj ode
Magazin - Ako poludim
Magazin - S druge strane mjeseca
Magazin - Ko me zove

Ne znam ja muški da poginem
Nađi novu ljubav
Daleko si
Italiana
Napile se ulice
Čik pogodi
Biseru beli
Janoš
Hoću da te gledam
Dragane moj
Popij me kao lek
Volela sam volela
Nisam ljubomoran
Crno i zlatno  Dmol
Legitimno
Večera
Bijelo dugme - Zaboravi ako možeš
YU Rock Misija - Za milion godina






Predlozi prihvaćeni

Zdravko Čolić - Ti živiš u oblacima mala  Cmol
Zdravko Čolić - Produži dalje  Dmol
Senidah - Ko Je  Gmol
Senidah - Replay  Hmol
Senidah - Behute  Dismol
Marija Šerifović - Podseti me  Hmol
Željko Joksimović - Dođi sutra  Dmol
Ana Nikolić - Januar  Gismol
Saša Kovačević - Jedra  Amol
Toše Proeski - Ako me pogledaš u oči  Dmol
Toše Proeski - Veži me za sebe   Hmol iz D
Toni Cetinski - Kao u snu  Gmol
Boban Rajović - Padobran  Hmol
In Vivo ft Boyant - Moje leto  Hmol
Goca Tržan - Voleo si skota  Fismol
Magazin - Ginem  Cismol
Riblja čorba - Kada padne noć  Hmol
Riblja čorba - Gde si u ovom glupom hotelu  Cismol
Riblja čorba - Nemoj srećo nemoj danas  G
Riblja čorba - Kad sam bio mlad  Amol
Riblja čorba - Ostani đubre do kraja  Amol
Riblja čorba - Amsterdam  Emol
Bijelo dugme - Na zadnjem sedištu moga auta  Hmol
Kap po kap  Amol
Marina  Cis









Provera da li su sve pesme na broju
Provera da li ima duplikata
Provera tonaliteta i opciono dodati zvezdice
Provera da li je ispravno napisano
